offer_id,brand,title,description,price,currency,cluster_id,true_catalog_id
75599056,Elixir,"Elixir Nanoweb Coated Acoustic Guitar String Set, Phosphor Bronze, .010-.047","Looking for the feel of traditional guitar strings, but tired of ones that die out after one gig? Elixir introduces Acoustic Phosphor Bronze Guitar Strings with ultra-thin Nanoweb coating. Nanoweb gives your strings longer life, while recreating the bright tone and punch of non-coated strings. Guara",17.99,GBP,2603630,26099517
23220008,,Samsung 970 EVO Plus Series 500GB PCIe NVMe-M.2 Internal SSD,Samsung 970 EVO Plus Series 500GB PCIe NVMe-M.2 Internal SSD,205.99,CAD,416703,60131715
54954273,Fujifilm,Fujifilm Instax Square Film for SQ10 Hybrid Cameras 20 Shot Pack,"EXTRA VALUE 2x 10 Shot Packs (giving you 20 shots in total). FRESH UK STOCKS AND LONG DATED. Fujifilm Instax \""SQUARE\"" film is for use in only square format instant print cameras such as the new SQ10, SQ6 cameras...Note: Not for use in Fuji Instax \""Mini\"" Cameras. This film offers stunning instant",,,1457721,54697856
82699948,Shimano,Shimano CLEATS SHIMANO SPD SL SM-SH10,,19.99,EUR,431550,26060342
28679400,,APPLE - AirPods (2019) white DE,Apple AirPods (2019) white,,,767259,60359264
3855078,,Manfrotto MHXPRO-2W 2-Way Pan/Tilt Head,"TheManfrotto MHXPRO-2Wis a standard 2-way pan/tilt head with the added feature of dual fluidity levels. You can choose between hard and soft fluidity when tilting your camera or scope. Hard fluidity will provide a slower tilt movement, while soft fluidity allows you to more quickly reposition your g",$199.99,,255513,78303938
71785258,,watch only time man Tissot T-Sport T1204071104101,"Tissot Men's Time Only Watch From the T-Sport Collection of the Seastar 1000 Line. Watch Name: Tissot Seastar 1000 Powermatic 80 Silicium. Clock With 316L Steel Case Of Round Shape Of Size 43Mm With Thickness Of 12.7Mm And Distance Between The Lugs Of 21Mm. Case With Ceramic Bezel, Anti Rotation Bez",830.00,EUR,3457955,43618856
43630137,,"Jabra BIZ 2400 II Mono 3-1 - Mic. 82 NC, Wideband",,362.50,AUD,5673093,19751845
1021564,,UniFi Video Camera G3-MICRO,"Full HD (1080p) indoor camera with compact form factor, 30 FPS, and dual-band support.",265.00,CAD,591042,16691545
47734597,Logitech,Logitech G402 muis USB Type-A Optisch 4000 DPI,Logitech Gaming Mouse G402 Hyperion Fury,42.37,EUR,514979,3777655
57778897,,Crucial MX500 - solid state drive - 500 GB - SATA 6Gbs,Crucial MX500 500GB Solid State Drive,,,1282167,22821574
79475479,,Hikvision 32-Channel 1080P HD-TVI Turbo DVR - DS-7332HQHI-K4,DescriptionSupport H.265 Pro+/H.265 Pro/H.265 Video CompressionSupport HDTVI/AHD/CVI/CVBS/IP Video InputMaximum 40/48 IP Cameras Input (Up To 6 MP)Maximum 800m For 1080p And 1200m For 720p HDTVI Signal TransmissionUp To 10 TB Capacity Per HDDWarranty3 YearsFULL SPEC SHEET - CLICK HERE,1.3701E4,ZAR,3034024,67725254
66658369,,"4GB DDR3L 1600 MT/s (PC3L-12800) CL11 Crucial Unbuffered UDIMM 240pin 1,35V/1,5V Single Ranked CT51264BD160BJ",,26.66,EUR,2395112,70265673
1773920,,Johnnie Walker Blue Label - > 25 J. - 40%,,154.99,EUR,56750,53299737
45843588,,"Intel Core i3-7100 processore 3,9 GHz Scatola 3 MB Smart Cache","Core i3-7100 Processor (3M Cache, 3.90 GHz)",144.94,EUR,443612,22154247
55550979,,OKI C831/841 blátt dufthylki 10K,"Nánari lýsing frá framleiðanda:Barcode: 5031713053811Compatible Brand: OkiCompatible Printer(s): C831/C841 A3 Colour PrintersEC Commodity Code: 84439990Form Factor: CartridgeModel Name: 44844507Product Type: Toner CartridgeToner Colour(s): CyanTotal: 1Yield: 10,000OKI Toner Cartridge for C831/C841 A",60566,ISK,796023,48093720
89757103,,SAMSUNG 2TB T5 PORTABLE SSD (MU-PA2T0B/WW)-WRTY W/EA,Warranty : 3 Years with Local Distributor - Eternal Asia,888.00,SGD,932319,41453265
79212529,,"Razer Basilisk V2 20,000 DPI Optical Mouse — Black","Screw what others say—champion your own style of play with the Razer Basilisk V2. Tweak, toggle and tune your performance with this highly customizable gaming mouse, to create your very own brand of dominance that’ll leave a mark on the battlefield.FeaturesRazer Speedflex Cable: The Razer Basilisk V",69.99,GBP,844661,9138065
78194247,,Jabra Evolve 20 Duo UC USB Headset,Jabra Evolve 20 Duo UC USB Headset,39.34,GBP,182172,29319775
95208450,ASUS,"ASUS GeForce RTX 2080S DUAL EVO OC HDMI, 3x DisplayPort",,7.8861E2,EUR,3154731,43227294
41112890,Fujifilm,Fujifilm FUJINON XF56mm F1.2 R APD,,1279.01,EUR,32010,30151389
73554318,,"Cartus cerneala Epson 79XL magenta, singlepack DURABrite ultra ink, capacitate (17ml) - 2000 pagini","Cartus cerneala Epson 79XL magenta, singlepack DURABrite ultra ink, capacitate (17ml) - 2000 pagini",163.8655,RON,2618454,58023892
68752525,,"Battery replacement kit for BE550G-RS, BR550GI, BR650CI-RS (APCRBC110)",,2650,RUB,1157842,22150807
63606019,,AMD RYZEN 5 1500X Quad-Core Processor,,$‎179.95,USD,2442999,85021449
23981399,,"Cartus cerneala Epson T8651, capacitate 10000 pagini","Cartus cerneala Epson T8651, capacitate 10000 pagini, pentru Workforce WP-M5190DW, Workforce M5690DWF",550.4202,RON,193507,47959304
9999780,Sandisk,SanDisk Extreme PRO CZ880 128GB 256GB 420MB/s USB 3.1 Solid State Flash Drive (128GB),Solid state performance in a USB 3.1 flash drive1Read speeds of up to 420MB/s; write speeds of up to 380MB/s1Sophisticated design with durable aluminium metal casingPassword protection and 128-bit AES file encryption software4RescuePRO® Deluxe data recovery download5Technical DetailsCapacities: 128G,288.0,MYR,79238,71230707
77502844,,"Western Digital HDD USB3 1TB EXT. 2.5""/RED",,6.55E1,EUR,2807367,35792541
1959777,edelkrone,Manfrotto 502AH Pro Video Head with Flat Base,Video-Tripod head with fluid system for pan & tilt axis for edelkrone Sliders. Leveling adjustment for precise alignment. Supports 8.8 lb.,200.0,EUR,287852,9907839
55675271,LOGITECH,Logitech C920 15MP 1920 x 1080pixels USB 2.0 Noir webcam,"Logitech C920, 15 MP, 1920 x 1080 pixels, 720p,1080p, H.264, Windows 10,Windows 10 Education,Windows 10 Education x64,Windows 10 Enterprise,Windows 10 Enterprise, Mac OS X 10.10 Yosemite,Mac OS X 10.11 El Capitan,Mac OS X 10.12 Sierra,Mac OS X 10.6 Snow Leopard,M",,,236410,80792673
42522284,,Storage Kingston Micro Duo USB3.0 16GB,System Specific,7.50,EUR,70963,19499147
51634034,HP,652589-B21-R 900GB 6G SAS 10K 2.5in SC ENT HDD,,"197,03 €",EUR,603762,25537521
22806137,Logitech,Logitech BRIO webcam 4096 x 2160 pixels USB 3.2 Gen 1 (3.1 Gen 1) Noir,"Logitech BRIO, 4096 x 2160 pixels, 90 ips, 1280x720@30fps,1280x720@60fps,1920x1080@30fps,1920x1080@60fps, 720p,1080p,2160p, 5x, 90°",291.07,EUR,182432,13845553
14954745,Shimano,Shimano CN-HG701-11 Bicycle Chain,"CHROMIZING TREATMENT ON PINX,-SERIESDeore XTTYPEHG-X11,-GENERATIONXT/Ultegra HG701-11PIN LINK PLATESIL-TEC,-SPEEDS11,-AVERAGE WEIGHT257g,-ROLLER LINK PLATESIL-TEC,-E-BIKE APPROVEDX,-",39.99,USD,483370,7309472
69981383,,DLINK - DGS-1210-28P - 28 Port Gigabit Smart Managed POE Switch,Cost-efficient and ﬂexible solution for expanding any business network.24 x 10/100/1000BASE-T PoE ports4 x Gigabit RJ45/SFP Combo portsAdvanced L2 switching and security featuresL2+ Static RoutingOptional “standard mode” or “surveillance mode” management user interface193 W PoE budget,40425,INR,56526,26855298
8122688,,Sigma 105mm f1.4 DG HSM ART lens for Canon EOS,,1229.00,,2161920,5089485
78827999,Kingston,Kingston Technology DataTraveler 100 G3 USB flash drive 256 GB USB Type-A 3.2 Gen 1 (3.1 Gen 1) Zwart,DataTraveler 100 G3 256GB,38.43,EUR,1090670,64928819
53937881,,Gigabyte Radeon RX 5500 XT OC 4G,"Grafikkort, PCI-Express 4.0, 4GB GDDR6, Navi",2299.00,SEK,1857431,47385841
24547754,,AAA Replica Tag Heuer Formula 1 Automatic 43mm Mens Watch WAZ2011.BA0842,AAA Replica Tag Heuer Formula 1 Automatic 43mm Mens Watch WAZ2011.BA0842 for sale from China with good prices.,,,2628369,6563464
25360513,Corsair,Corsair ML140 Pro LED 140mm Premium Mag-Lev Fan Red,Corsair ML140 Pro LED 140mm Premium Mag-Lev Fan Red – PC Case Gear – Australia’s Premier Online PC Store.,39,AUD,387671,53125631
5700486,,"Epson T6164 Patron Yellow 3,5K (Eredeti)",B300/B500DN3/5k,18514,,295197,75251439
37805233,,USB 3.0 FLASH DRIVE 32GB SANDISK,,12.99,EUR,292826,18451047
76549610,Fujifilm,Fujifilm XF 8-16mm F2.8 R LM WR schwarz,,1879.00,EUR,37091,80918812
27540308,,3M - PF27.0W9 PRIVACY FILTER BLACK,3M PF27.0W9 PRIVACY FILTER BLACK (98044054363) - Typ: Skärmskydd,2376.25,SEK,2996705,11096579
63744711,,Obudowa Corsair Carbide 275R White Tempered Glass (CC-9011133-WW),,339.00,PLN,717069,78241304
78190984,Brother,Brother HL-L5200DW Business Laser Printer with Wireless Networking and Duplex Printing - HL-L5200DW,"The Brother HL-L5200DW monochrome laser printer is perfect for offices and small workgroups looking for quality and reliability. It delivers cost-efficient, two-sided output thanks to a high-yield replacement toner cartridge. Plus, it quickly prints high-quality business documents up to 42ppm. Use t",275.98,USD,4560116,88715660
26095201,,CORSAIR CRYSTAL 680X RGB TG WHITE,Boitier gamer format ATX,,,28019,17553753
75035049,Maxxis,"Maxxis Maxxis Aggressor Tire: 29 x 2.30\"", Folding, 60tpi, Dual Compound, EXO, Tubeless Ready, Black",,66.00,USD,2224600,78116281
64769259,,Сървър HEWLETT PACKARD HP 300GB 6G SAS 15K rpm SFF (2.5-inch) SC Enterprise 3yr Warranty Hard Drive,Сървър HEWLETT PACKARD HP 300GB 6G SAS 15K rpm SFF (2.5-inch) SC Enterprise 3yr Warranty Hard Drive,606.90,BGN,199460,46088087
47933104,Maxxis,"Maxxis Maxxis, High Roller II, 27.5x2.40, Folding, 3C Maxx Terra, Tubeless Ready, EXO, 60TPI, 60PSI, Black",,84.00,USD,1631327,3954683
45437496,,Webcam Logitech HD Webcam C310 960-001065,"Webcam Logitech HD Webcam C310 960-001065Artikelnummer:16159EAN:5099206064225MPN:960-001065Warennummer:85258019Logitech WEBCAM 960-001065 HD Webcam C310 USB / 5 MP, 1280x720 / RightLight and RightSound / Clip for Notebook, Display / 1-click FacebookÙ and YouTube® uploading Retail",101.86,EUR,301204,67422473
86650421,Ubiquiti Networks (UBNT),Ubiquiti UniFi Video Camera G3 Bullet (3 Pack),Ubiquiti UniFi Video Camera G3 Bullet (3 Pack),491.51,GBP,64482,63542010
19218126,,Pokemon: Sword & Shield 3: Darkness Ablaze: Elite Trainer Box,"Darkness Ablaze is the third wave of Pokemon Sword & Shield Trading Card series.The Pokemon Darkness Ablaze Elite Trainer Box is perfect for experienced and new players and collectors of the Pokemon TCG as it contains lots of information on gameplay, new game mechanics as well as lots of booster pac",4.25E1,GBP,2619685,20813006
78253269,,Ladies Daniel Wellington Sheffield Rose 36mm Watch DW00100036,Daniel Wellington Sheffield Rose 36mm DW00100036 is an incredible attractive Ladies watch. Material of the case is PVD rose plating and the Cream dial gives the watch that unique look. 30 metres water resistancy will protect the watch and allows it to be worn in scenarios where it is likely to be sp,149.00,GBP,48610,24366661
55296525,Samsung,"Samsung LH46UHFCLBB/EN 46"" Full HD LED Large Format Display","Product InformationCreate amazing, cost-effective video walls to make your message stand out. The UH46F5 features a slim depth of just 1.9in for a lightweight, elegant design. The non-glare panel offers improved visibility and it's built for 24/7 runtime. Plus, you can achieve 4K UHD resolution when",1138.97,GBP,1312939,17631479
26844226,,WS-C2960X-24PD-L - 24 Port Switch,Cisco Catalyst 2960-X 24 Port 370W PoE LAN Base Ethernet Switch,1364.00,USD,1412234,74983296
71614858,Maxxis,"Maxxis Maxxis High Roller II Tire - 29 x 2.5, Tubeless, Folding, Black, 3C Maxx Terra, DD, Wide Trail",The High Roller II has an open and aggressive tread design for excellent soil penetration and mud clearing ability. Modified knobs on the shoulder and center im,90.00,USD,1702430,17236806
4251312,,"3M - Privacy Filter19\"" LCD/Notebook","3M Privacy Filter19\"" LCD/ Notebook (PF190C4B) - Type: Annet Tilbehør",1566.00,NOK,125058,1446199
55395351,,Elixir Strings Nanoweb 80/20 Acoustic Guitar 12-Strings .010-.047 Extra Light,"ElixirAcoustic 80/20 Bronze for 12-String guitars with NANOWEB Coating deliver a bright, lively tone together with extended tone life that players have come to expect from Elixir Strings. (-.010 -.47)",1.399E1,USD,50573,34986650
26149785,,SEIKO PRESAGE AUTOMATIC ZEN GARDEN - SRPD41J1,"Back in 2010, a Seiko mechanical watch inspired by the glamour of the cocktail bar and designed especially for the Japanese market started to attract attention on the world's watch blogs, forums, and websites. In the months and years that followed, the watch became famous, and it has come to be cove","1,589.00",MYR,143712,33088663
94500875,,Hydro Flask - 32 oz Wide Mouth,"Big enough for a whole day on the river or trails, the Hydro Flask 32 oz Wide Mouth Bottle is made with professional-grade stainless steel and a wider opening for faster fill. We couldn’t think of a bottle more deserving of a refresh, so Hydro Flask elevated the silhouette and simplified design with",4.495E1,USD,36023,30567166
52341668,Traveler's Company,Traveler's Company 012. SKETCHING PAPER (48 PG) MIDORI TRAVELER'S NOTEBOOK,,4.50,GBP,4249975,78438382
41697042,,"Cooler Master MasterBox TD500 Mesh ARGB Black ATX Case, Tempered Glass Side Window, NO PSU, 2x USB 3.2 Gen1, HD Audio, 3x 120mm ARGB Fan pre-installed, RGB Controller / Splitter Cable included, Polygonal Mesh Front Panel","Cooler Master MasterBox TD500 Mesh ARGB Black ATX Case, Tempered Glass Side Window, NO PSU, 2x USB 3.2 Gen1, HD Audio, 3x 120mm ARGB Fan pre-installed, RGB Controller / Splitter Cable included, Polygonal Mesh Front Panel",149.00,AUD,1497038,9632109
5624480,,Lacie 5TB Mobile Drive USB-C Moon Silver,,184.204801,EUR,500837,35350872
24349826,,Zotac Vga Gaming Rtx 2060 Super Amp 8Gb Gddr6,,540.50,,3100816,43979051
69674916,TAG Heuer,TAG Heuer Tag Monaco with Heuer Calibre 02 (newest model listed at $6800),Reference number CBL2111.FC6453 Steel Automatic Year 2020 Watch with original box Watch with original papers 39mm,5400,USD,2454132,28672534
42030416,,"LaCie Rugged IP54 2TB 2.5\"" HDD Thunderbolt3 & /USB3.1 Type C w/integrated cable",,209,EUR,114602,14035013
54112792,Logitech,Logitech C270 webcam 3 MP 1280 x 720 Pixels USB 2.0 Zwart,"HD Webcam C270, 3 MP, 1280 x 720, USB 2.0, Fluid Crystal",52.04,EUR,79254,20044617
52495504,,Audio-Technica Consumer ATH-PRO7X Professional On-Ear DJ Monitor Headphones,"High-Fidelity Audio Reproduction for DJs45mm Large-Aperture DriversSleek, Minimalist, On-Ear DesignSoft, Comfortable Earpads",799,AED,249337,47121877
32345346,,SanDisk SSD PLUS 120GB SSD,"RELIABLE, FAST AND PLENTY OF CAPACITYSanDisk, a pioneer in solid state storage technologies and the brand pros trust, delivers improved speed and performance with the SanDisk SSD Plus. With sequential read speeds of up to 535MB/s, this solid state drive performs up to 20X faster than a typical hard ",469.0,ZAR,327381,26567011
61898346,,Epson T6923 Patron Magenta 110ml(Eredeti),SureColor SC-T3000/SC-T3200/SC-T5000/SC-T5200/SC-T7000/SC-T7200,21750,,126198,28956719
41493099,EPSON,Cartouche d'encre Epson Epson cartouche wf-8xxx - noir xl,Cartouche d'encre Epson Epson cartouche wf-8xxx - noir xl,79.79,EUR,3543965,42544495
37471512,LaCie,"LaCie 2TB USB 3.1 Type-C Mobile Drive, Moon Silver",,409.0,AED,137764,95558103
51855709,,"Western Digital Dysk MY PASSPORT 1TB 2,5 black WDBYVG0010BBK-WESN",,317.99,PLN,283756,50944297
64192522,Fujifilm,Fujifilm XF 56mm f/1.2 R Prime Lens (R2500 Cashback with Fujifilm),Fujifilm X-Mount85mm (35mm Equivalent)Aperture Range: f/1.2 to f/16One Double-Sided Aspherical ElementTwo Extra-Low Dispersion ElementsHT-EBC Multi-Layer Lens CoatingAdditional Coating on Front ElementHigh Speed AF & Inner Focusing MechanismSeven-Blade Rounded Diaphragm,15495,ZAR,565142,88950114
82148801,,Kingston microSDHC Canvas Select 32GB 80R/10W Class 10 UHS-I,,3.29E1,PLN,595102,7916004
37261757,,"Kingston Canvas Select Plus 32GB SDHC Card 100MB/s, V30","Canvas Select Plus SD Capture cinematic Full HD and 4K UHD videos Kingston’s Canvas Select Plus SD card is designed with exceptional performance, speed and durability for heavy workloads such as transferring and developing high-resolution photos or capturing and editing full HD videos. It can reach ",6.69,GBP,1980656,80240194
24856378,XPG,"XPG SX6000 Lite M.2 2280 1TB PCI-Express 3.0 x4, NVMe 1.3 3D NAND Internal Solid State Drive (SSD) ASX6000LNP-1TT-C","XPG SX6000 Lite M.2 2280 1TB PCI-Express 3.0 x4, NVMe 1.3 3D NAND Internal Solid State Drive (SSD) ASX6000LNP-1TT-C",104.99,USD,89058,77791574
55921005,,ACCESS POINT DE ESCRITORIO TP-LINK/N450/3 ANT/5dBi//TL-WA901ND,TP-LINK/N450/3 ANT/5dBi/,816.5,MXN,877442,86407819
70863968,Apple,Apple APPLE AIRPODS PRO (2019),APPLE AIRPODS PRO (2019),249.00,USD,1563974,37083729
88973966,Evans,Evans EC2 Clear 14 Inch Drum Head Skin Level 360,,36.00,AUD,949458,21012462
35452993,,"UVC-G3-FLEX-3Ubiquiti UniFi Video Camera, G3, Flex 3 pack",,26.27,KES,266703,67415262
45366053,,GARMIN FENIX 5S Sapphire - Black with Black Band,"GARMIN FENIX 5S Sapphire - Black with Black Band Striking Design, Strong Performance...Athletes and adventurers come in all sizes. That's why the fenix 5 series offers multiple models that vary in size to fit every wrist and every workout. Each version offers a variety of stainless steel finishes, Q",949,AUD,1406172,5263192
34146981,,Garmin fenix 5S Plus - Silver with black band,,4.5E2,EUR,23040,53380330
64384934,,"Intel i7 8700k upto 4.7 GHz (6 core, 12 thread)",,,,1808651,75486692
96582714,,APC RBC117 Replacement Battery Cartridge,Genuine APC RBC(TM) are tested and certified for compatibility to restore UPS performance to the original specifications.,383.03,USD,849634,5576199
31947384,,SDSDUNR-256G-GN6IN memory card 256 GB SDXC Class 10 UHS-I,"Product colour: GreyCapacity: 256 GBRead speed: 100 MB/sFlash card type: SDXCFlash memory class: Class 10UHS Speed Class: Class 1 (U1)Video Speed Class: V10Memory voltage: 2.7, 3.6 VOperating temperature (T-T): -25 - 85 °CWeight: 13.60777 gWidth: 31.9 mmDepth: 2.17 mmHeight: 23.9 mm",547.50,DKK,1054843,23699673
9921764,,Seagate 10TB 3.5 Ironwolf NAS HDD 256MB Cache,Seagate 10TB 3.5 Ironwolf NAS HDD 256MB Cache,"R6 439,99 incl tax",ZAR,1482775,51766259
48920124,,D1-TAPE 24MM X 7M noir ON blanc IN,S0720930 Dymo,0,EUR,395055,22463957
14721278,,Cle Usb Wifi Tp-Link N300 Tl-Wn821n,Cle Usb Wifi Tp-Link N300 Tl-Wn821n,د.ج.‏1٬750,DZD,1164344,90951828
25830913,,RAM HyperX Fury Black DDR3 1600MHz 2 x 4Go,MEM D3 1600 8G 2x4G *HyperX Fury Black* HX316C10FBK2/8 *0420,71.28,EUR,702149,43900336
64941287,,6TB - Seagate Enterprise IRONWOLF SATA - ST6000VN0033,"Seagate IronWolf ST6000VN00336TB 5400 RPM 64MB Cache SATA 6.0Gb/s 3.5\"" Internal Hard Drive Bare Drive",161.0,USD,498972,457768
3553691,Swiss Military Hanowa,Orologio Swiss Military Hanowa06-4226.30.003.03 Immersion,Blue Swiss Made Chrono Diver with DayDate,244.95,EUR,2080188,5650508
3789182,Znaka: Originlne,Originlny toner XEROX 106R01634 (ierny),Originlny spotrebn materil pre tlaiarne XEROX,66.9,EUR,785946,8060977
44726488,Brother,Brother HL-L6300DW Business Laser Printer for Mid-Size Workgroups w/Higher Print Volumes,"Business durable design with fast, high-quality printing at up to 48 ppm.High-Yield 8,000-page in-box cartridge; realize even lower cost output due to a super high-yield 12,000-page replacement toner cartridgeAdvanced security features such as an integrated NFC card reader for network user authentic",349.98,USD,408446,40163790
25831104,,SRAM CASSETTE PG-1130 11V 11-36,,88,EUR,296239,14132157
26102262,,Instax Square Black Border Film 10 Shot Pack,This Fujifilm Instax Square Film is designed for use in your Fujifilm Instax Square Camera. This pack contains 10 sheets of film in a handy cartridge that's quick and easy to install in your camera.EXP: 10/2020,19.95,AUD,1118780,84301060
28403450,,EPSON - Ink Cart/XL Yellow WF-8xxx,EPSON Ink Cart/XL Yellow WF-8xxx (C13T755440) - Produkt: Blekk,901.25,NOK,2806654,11658050
20898202,,"SanDisk 480GB SSD Plus SATA III 2.5\"" Internal SSD","The SanDisk 480GB SSD Plus SATA III 2.5\"" Internal SSD offers sequential reads of up to 535 MB/s and sequential writes of up to 445 MB/s to offer faster boot times and faster access to your data than a traditional spinning hard drive. This internal SSD quickly delivers 480GB of storage capacity for ",78.99,USD,1037877,12333156
21944667,,WD Black 4TB My Passport Portable USB3.0 HDD (WDBPKJ0040BBK-WESN) (Warranty 3years with WD SG),Warranty : 3 Years with WD,159.00,SGD,1939560,96980573
74443743,,"256GB, PCIe Gen3x4 Gaming SSD 3D NAND XPG SX8200 PRO","256GB, PCIe Gen3x4 Gaming SSD 3D NAND XPG SX8200 PROThe SX8200 Pro M.2 2280 SSD is XPG’s fastest SSD to date and is designed for avid PC enthusiasts, gamers, and overclockers. It features an ultra-fast PCIe Gen3x4 interface that offers sustained peak read/write speeds of 3500/3000MB per second, outp",43.63,EUR,1856741,44201512
12423049,,"Transcend SSD230S Series 128GB 2.5\"" SATA3 SSD","Transcend SSD230S Series 128GB 2.5\"" SATA 6Gb/s Solid State Drive - 3D TLC NAND Flash Memory - Aluminium Casing - 7mm - Max Seq. R/W: 560MB/s, 500MB/s - DDR3 DRAM cache - SM2258 Controller",604.00,ZAR,715391,45664586
4217254,,"Corsair Vengeance LPXFekete DDR4, 2666MHz 8GB (1 x 8GB) memória","DDR4, 2666MHz 8GB 1 x 288 DIMM, Unbuffered, 16-18-18-35, Vengeance LPX Fekete Heat spreader, 1.2V, XMP 2.0, Supports 6th Intel® Core™ i5/i7",18100,HUF,155934,1291443
22846596,,Sony E-Mount 24-240mm F3.5-6.3 FE OSS Zoom,"This Sony zoom lens is perfect for all of the obstacles of your everyday life, with a range wide enough to capture all from landscapes, to portraits and sports. Compatible with all Sony E-Mount cameras, including the full-frame options, the Sony FE 24-240mm F3.5-6.3 OSS maintains the consistently hi",1499.95,AUD,740038,54722844
27087295,,"Catalyst 2960-X 24 GigE, 2 x 10G SFP+, LAN Base","Cisco® Catalyst® 2960-X and 2960-XR Series Switches are fixed-configuration, stackable Gigabit Ethernet switches that provide enterprise-class access for campus and branch applications (Figure 1). Designed for operational simplicity to lower total cost of ownership, they enable scalable, secure and ",27340.25,HKD,758825,89973207
54808619,Manfrotto,Manfrotto MVH500AH Lightweight Fluid Video Head - Flat Base,The Manfrotto MVH500AH Lightweight Fluid Video Head is available for sale from Outdoorphoto. Read more about this item now.,3195.00,ZAR,72631,9646081
21447171,,ASUS ROG STRIX B550-F GAMINGmotherboard - ATX - Socket AM4 - AMD B550,Advance your gaming immersionPCIe 4.0-readyIntel 2.5 Gb EthernetSupremeFXAI noise-canceling microphoneAll-round performanceDIGI+ Power ControlCooler by designOutshine the competitionQ-LEDsSafeSlot,179.32,GBP,516888,8921864
81395161,Corsair,"Corsair CC-9011101-WW Crystal Series 460X RGB, Tempered Glass, Compact ATX Mid",We've engineered the crystal 460X RGB to pack all the performance and expandability you need into a beautifully modern and compact case design with vivid illumination from our SP120 RGB LED fans. Put your build on display through beautiful two-panel tempered glass and keep it all running cool and qu,131.99,USD,1320095,43851871
43742288,,D-link DGS-1210-24P best price,24-Port Gigabit PoE Smart Switch with 4 SFP ports Price: 261.18. Best price from OmniChannel. Convenient payment by bank transfer or delivery,2.6118E2,eur,964764,2244475
3846927,,"MB ASUS PRIME X570-PRO AM4 4DDR4 HDMI,DP 3*PCIE Optical S/PDIF OUT, AURA, M.2 ATX",,277.31,EUR,2848082,93532842
18525537,Corsair,CORSAIR DDR4 2133MHz 16GB 2x8GB 288 DIMM Unbuffered 13-15-15-28 Vengeance LPX Black Heat spreader 1.20V XMP2.0,,65.97,EUR,941703,23279983
46966361,,APC SRT10KXLI Smart-UPS SRT 10kVA 230V,"APC SRT10KXLI Smart-UPS SRT 10kVA 230VModel: SRT10KXLI Includes: CD with software , Documentation CD , Installation guide , Temperature Probe , USB cable , Warranty card , Web/SNMP Management Card",6699,SGD,1284659,15724231
