flags,instruction,category,intent
BLM,problems with {{Account Type}} account deletions,ACCOUNT,delete_account
BELP,I do not know how I could locate my bill from {{Person Name}},INVOICE,check_invoice
BLQZ,i awnt assistance submitting feedback about ur company,FEEDBACK,review
BLMW,I want assistance to notify of goddamn issues with payments,PAYMENT,payment_issue
BILMW,how do I switch some goddamn products of order {{Order Number}}?,ORDER,change_order
BLM,see my bills from {{Person Name}},INVOICE,check_invoice
BL,I need help seeing the options for shipment,DELIVERY,delivery_options
BIL,what do I have to do to check the status of my rebate?,REFUND,track_refund
BILQ,what do i need to do to restore my pin code,ACCOUNT,recover_password
BLQ,need help deleting something from purchase {{Order Number}},ORDER,change_order
BELQ,i do not know how to unsubscribe from ur company newsletter,SUBSCRIPTION,newsletter_subscription
BL,I want help to inform of an error with registrations,ACCOUNT,registration_problems
BL,check what hours I can contact customer support,CONTACT,contact_customer_service
BKL,updating premium account,ACCOUNT,edit_account
BKL,update {{Account Type}} account,ACCOUNT,edit_account
BILM,what do I need to do to check the withdrawal fees?,CANCEL,check_cancellation_fee
BELM,I do not know what to do to earn some products,ORDER,place_order
BL,I want to see under what circumstances can I request refunds,REFUND,check_refund_policy
BL,"mail me bill #37777",INVOICE,get_invoice
BCLNQZ,i cant create a user need help reportinga sign-up problem,ACCOUNT,registration_problems
BLM,I need assistance to purchase some of your item,ORDER,place_order
BILQ,can i check in which cases can i request reimbursements,REFUND,check_refund_policy
BL,I have got to unsubscribe to the company newsletter,SUBSCRIPTION,newsletter_subscription
BLQ,I'm trying to cancel purchase {{Order Number}},ORDER,cancel_order
BKLQ,correcting info on premium account,ACCOUNT,edit_account
BL,change purchase {{Order Number}},ORDER,change_order
BELM,I do not know how to inform of payment problems,PAYMENT,payment_issue
BLQ,i dont know what i need to do to see the withdrawal fee,CANCEL,check_cancellation_fee
BLQ,"i dont know how i can download my invoice #85632",INVOICE,get_invoice
BILP,could I see in what situations can I request my money back?,REFUND,check_refund_policy
BLZ,I  need assistance to sign up to the newsletter,SUBSCRIPTION,newsletter_subscription
BLM,I need assistance checking the early exit charges,CANCEL,check_cancellation_fee
BL,help to check how soon can I expect my shipment,DELIVERY,delivery_period
BCILQ,i have to see how long refunds take how do i do it,REFUND,check_refund_policy
BKLM,report problems with payment,PAYMENT,payment_issue
BLQ,help me retrieve my profile pin code,ACCOUNT,recover_password
BL,help me entering another delivery address,SHIPPING,set_up_shipping_address
BLQ,i dont know what i need to do to close the {{Account Category}} account,ACCOUNT,delete_account
BK,report payment issue,PAYMENT,payment_issue
BL,I am waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BKLZ,deleting premium accoumt,ACCOUNT,delete_account
BLQZ,need help regadring my sign-up,ACCOUNT,registration_problems
BLMNQ,i cant notify of issues with signup,ACCOUNT,registration_problems
BLMZ,help to solve an error withonline payments,PAYMENT,payment_issue
BLM,I need assistance receiving compensations of my money,REFUND,get_refund
BKLZ,change to {{Account Type}} acount,ACCOUNT,switch_account
BILP,how could I open a {{Account Type}} account?,ACCOUNT,create_account
BIL,how much will you charge me for canceling the contract?,CANCEL,check_cancellation_fee
BILQ,can uhelp me swap an item of order {{Order Number}},ORDER,change_order
BILW,what do I have to do to talk with bloody customer support?,CONTACT,contact_customer_service
BKL,edit {{Account Category}} account,ACCOUNT,edit_account
BLMQZ,wanna report issues with online pahment,PAYMENT,payment_issue
BCILPW,"I have got to file a bloody reclamation, will you help me?",FEEDBACK,complaint
BKLZ,mldifying premium account,ACCOUNT,edit_account
BL,I don't know how to make a consumer reclamation,FEEDBACK,complaint
BKLZ,correct information on freeaccount,ACCOUNT,edit_account
BIQSZ,is it possible toorder from {{Delivery City}},DELIVERY,delivery_options
BKL,another standard account,ACCOUNT,create_account
BILW,how to see order {{Order Number}} fucking current status?,ORDER,track_order
BMQ,wanna know about the delivery period,DELIVERY,delivery_period
BILQ,uhave a free of charge number to talk with customer support,CONTACT,contact_customer_service
BMQZ,i have got to check the invoces from {{Person Name}},INVOICE,check_invoice
BL,open a {{Account Type}} account,ACCOUNT,create_account
BL,help me check in what cases can I request a reimbursement,REFUND,check_refund_policy
BLMW,help downloading my goddamn bills from {{Person Name}},INVOICE,get_invoice
BLQ,need assistance to subscribe to the company newsletter,SUBSCRIPTION,newsletter_subscription
BCEILQZ,I'mlooking for shipping period can uhelp me find them,DELIVERY,delivery_period
BKLZ,modify information on platinum acfount,ACCOUNT,edit_account
BLM,I have problems with the removal of my premium account,ACCOUNT,delete_account
BELQZ,"i do not know what i neerd to do to download my bill #12588",INVOICE,get_invoice
BL,assistance canceling the corporate newsletter subscription,SUBSCRIPTION,newsletter_subscription
BEL,I do not know how to see how soon can I expect the product,DELIVERY,delivery_period
BKLZ,create {{Account Category}} accountfor wife,ACCOUNT,create_account
BL,I need assistance buying an article,ORDER,place_order
BLQZ,i have got to swap  an item of order {{Order Number}},ORDER,change_order
BLMN,I can't see if there are any updates on my compensation,REFUND,track_refund
BL,I want to know about correcting the address,SHIPPING,change_shipping_address
BLM,I have problems with changing purchase {{Order Number}},ORDER,change_order
BILZ,can yoj help me to make a complaint against your company?,FEEDBACK,complaint
BL,help checking in what situations can I ask to be refunded,REFUND,check_refund_policy
B,I expect a refund of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BLMQW,want help switching some damn products of purchase {{Order Number}},ORDER,change_order
BILZ,can you help me cancelong purchase {{Order Number}}?,ORDER,cancel_order
BL,I don't know what I have to do to demand my money back,REFUND,get_refund
BLQ,i dont know how i can leave feedback,FEEDBACK,review
BEL,I do not know how I can send some feedback for your company,FEEDBACK,review
BL,help to restore the PIN code of my profile,ACCOUNT,recover_password
BELQ,i do not know what to do to see how long the shipping takes,DELIVERY,delivery_period
BI,can you give me information about delivery periods?,DELIVERY,delivery_period
BKL,open {{Account Type}} account,ACCOUNT,create_account
BLQZ,i need help to see what hours customer support azvailable is,CONTACT,contact_customer_service
BL,help to check at what time I can call customer support,CONTACT,contact_customer_service
BILQZ,hwere do i open a {{Account Type}} account,ACCOUNT,create_account
BCLW,"I want to get the goddamn bill from {{Person Name}}, help me",INVOICE,get_invoice
BLW,I expect a fucking compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BLQ,i need help calling customer service,CONTACT,contact_customer_service
BL,I expect a reimbursement of {{Refund Amount}} dollars,REFUND,track_refund
BLM,I don't know what I have to do to modify the user details,ACCOUNT,edit_account
BLM,I need help seeing the termination fees,CANCEL,check_cancellation_fee
BL,I want help to speak with somebody,CONTACT,contact_human_agent
BLZ,I want assistance to list your accetped payment modalities,PAYMENT,check_payment_methods
BKL,editing information on {{Account Type}} account,ACCOUNT,edit_account
BL,I have got to chat with someone,CONTACT,contact_human_agent
BLM,I want to see if there are any news on my rebate,REFUND,track_refund
BL,I need assistance to see the early exit fee,CANCEL,check_cancellation_fee
BILM,what is the customer support working hours?,CONTACT,contact_customer_service
BL,help me check in which cases can I ask to be reimbursed,REFUND,check_refund_policy
BKLQZ,correcting info on {{Account Type}} aqccount,ACCOUNT,edit_account
BL,I need help calling customer assistance,CONTACT,contact_customer_service
BIZ,how do I subscribe to your company newsletter ?,SUBSCRIPTION,newsletter_subscription
BLZ,assistance to cancel purchased {{Order Number}},ORDER,cancel_order
BLMW,I want to report problems with a damn sign-up,ACCOUNT,registration_problems
BL,I have to check in what situations can I request a refund,REFUND,check_refund_policy
BILQ,can i speak with an operator,CONTACT,contact_human_agent
BILQ,can ya help me lodging a consumer claim against ur business,FEEDBACK,complaint
BIL,can I see order {{Order Number}} current status?,ORDER,track_order
BL,I need to cancel my company newsletter subscription,SUBSCRIPTION,newsletter_subscription
BLQZ,want help norifying of a payment issue,PAYMENT,payment_issue
BL,I want assistance deleting a {{Account Category}} account,ACCOUNT,delete_account
BKZ,camceling order {{Order Number}},ORDER,cancel_order
BL,help me receive the corporate newsletter,SUBSCRIPTION,newsletter_subscription
BLMQW,need assistance ordering some goddamn items,ORDER,place_order
BLM,I want assistance to shop several articles,ORDER,place_order
BLQ,i have got to create a {{Account Type}} account for my dad,ACCOUNT,create_account
BZ,I need assistanc with adding an item to order {{Order Number}},ORDER,change_order
BLQ,I'm trying to see at what time i can call customer support,CONTACT,contact_customer_service
BQ,i have got to track my refund,REFUND,track_refund
BLW,I am trying to leave a goddamn comment for a product,FEEDBACK,review
BCIL,"I need to see how long reimbursements take, how do I do it?",REFUND,check_refund_policy
BL,I have a problem with the removal of my standard account,ACCOUNT,delete_account
BILQS,do uship to {{Delivery City}},DELIVERY,delivery_options
BLQ,want help to see what hours I can call customer assistance,CONTACT,contact_customer_service
BL,information about signing up to your company newsletter,SUBSCRIPTION,newsletter_subscription
BIL,is it possible to send some feedback about your company?,FEEDBACK,review
BIL,can you help me update the data included on my profile?,ACCOUNT,edit_account
BIL,how can I speak to a human agent?,CONTACT,contact_human_agent
BL,help me canceling my newsletter subscription,SUBSCRIPTION,newsletter_subscription
BCL,"I have got to submit the secondary shipping address, help me",SHIPPING,set_up_shipping_address
BLQZ,y i cant set the delivery adress valid up,SHIPPING,set_up_shipping_address
BL,assistance creating a platinum account,ACCOUNT,create_account
BL,I need assistance to modify purchase {{Order Number}},ORDER,change_order
BILW,how do I chat with a fucking person?,CONTACT,contact_human_agent
BIL,how to file a customer reclamation?,FEEDBACK,complaint
BLQ,i expect a reimbursement of {{Refund Amount}} dollars,REFUND,track_refund
BEL,I do not know how I can check your allowed payment options,PAYMENT,check_payment_methods
BIL,can I pay with PayPal?,PAYMENT,check_payment_methods
BK,canceling order {{Order Number}},ORDER,cancel_order
BLMZ,problems with cnceling purchase {{Order Number}},ORDER,cancel_order
BLMQ,help to earn a few of ur article,ORDER,place_order
BLZ,I am waiting for a reimburswment of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BLZ,help to  inform of a problem with a registration,ACCOUNT,registration_problems
BEL,I do not know how I can leave feedback about your company,FEEDBACK,review
BL,I have got to reset the PIN of my user,ACCOUNT,recover_password
BZ,help me usew the freemium account,ACCOUNT,switch_account
BLMZ,I want to remove some articles  from order {{Order Number}},ORDER,change_order
BIL,how do I check the methods for delivery?,DELIVERY,delivery_options
BCILM,"I need to purchase some items, can you help me?",ORDER,place_order
BI,is it possible to change order {{Order Number}}?,ORDER,change_order
BKL,update personal data,ACCOUNT,edit_account
BIL,what do I have to do to see the withdrawal charge?,CANCEL,check_cancellation_fee
BILM,can you show me what delivery methods I can choose?,DELIVERY,delivery_options
BL,I don't know what to do to find my invoice from {{Person Name}},INVOICE,check_invoice
BILQ,what do i have to do to remove a {{Account Category}} account,ACCOUNT,delete_account
BL,I need help to cancel purchase {{Order Number}},ORDER,cancel_order
BL,I don't know what I need to do to chat with a person,CONTACT,contact_human_agent
BQ,i want assistance checking when will my item arrive,DELIVERY,delivery_period
BL,I try to submit some feedback about your company,FEEDBACK,review
BILP,will you show me the termination charge?,CANCEL,check_cancellation_fee
BIL,can you help me cancelling purchase {{Order Number}}?,ORDER,cancel_order
BILMQ,is it possible to purchase several articles,ORDER,place_order
BELMQ,i do not know how i can download my bills from {{Person Name}},INVOICE,get_invoice
B,I need help to create a {{Account Category}} account,ACCOUNT,create_account
BQ,I'm waiting for a refund of {{Refund Amount}} dollars,REFUND,track_refund
BILP,would it be possible to cancel purchase {{Order Number}}?,ORDER,cancel_order
BCLMW,"I paid {{Currency Symbol}}{{Refund Amount}} for an item, help me getting a goddamn rebate",REFUND,get_refund
BILQ,is there a way to send an opinion for ur products,FEEDBACK,review
BKLZ,modifying ingormation on freemium account,ACCOUNT,edit_account
BIL,can you help me write a comment for your products?,FEEDBACK,review
BIQ,how do i cancel order {{Order Number}},ORDER,cancel_order
BELP,I do not know how I could open a {{Account Type}} account for my fiance,ACCOUNT,create_account
BCENQZ,i do not have a {{Account Type}} account ned help creating one,ACCOUNT,create_account
BCQ,i have to set up another shipping address i need help,SHIPPING,set_up_shipping_address
BLQ,need help using the platinum profile,ACCOUNT,switch_account
BCIL,"I lost my user PIN, what do I have to do to reset it?",ACCOUNT,recover_password
BELQ,i do not know how to cancel purchase {{Order Number}},ORDER,cancel_order
BL,assistance to reset my password,ACCOUNT,recover_password
BKLZ,chck bill from {{Person Name}},INVOICE,check_invoice
BLMQW,wanna obtain fucking compensations,REFUND,get_refund
BL,edit order {{Order Number}},ORDER,change_order
BLQ,need to change the info included on my user,ACCOUNT,edit_account
BCILPQ,"i lost bill #12588 could ya mail it to me",INVOICE,get_invoice
BKLM,correcting details on freemium account,ACCOUNT,edit_account
BL,"I want help to download the invoice #85632",INVOICE,get_invoice
BL,I have a trouble setting my new shipping address up,SHIPPING,set_up_shipping_address
BL,help me retrieve my user account PIN,ACCOUNT,recover_password
BLMQ,i dont know what i need to do to buy some products,ORDER,place_order
BLQ,i want help checking the ETA of purchase {{Order Number}},ORDER,track_order
BILQZ,can ya help me cancel purchzse {{Order Number}},ORDER,cancel_order
BK,add something to order {{Order Number}},ORDER,change_order
BLZ,I call to makle a customer claim against your business,FEEDBACK,complaint
BL,I need assistance to check your reimbursement policy,REFUND,check_refund_policy
BL,I have got to restore my password,ACCOUNT,recover_password
BILW,can I check the bloody payment methods?,PAYMENT,check_payment_methods
BLQZ,need to reset the password  of my user account,ACCOUNT,recover_password
BELQZ,"i do not know  what to do to look for my bill #00108",INVOICE,check_invoice
BILQZ,how can i remove a platinum acclunt,ACCOUNT,delete_account
BIL,how can I reset my profile access key?,ACCOUNT,recover_password
BLQ,need assistance to speak with customer support,CONTACT,contact_customer_service
BIQ,"is it possible to check invoice #37777",INVOICE,check_invoice
BLQ,i want help to edit order {{Order Number}},ORDER,change_order
BLM,I need assistance to shop a few of your item,ORDER,place_order
BELQ,i do not know how i can report a registration problem,ACCOUNT,registration_problems
BIL,how can I recover my user account PIN?,ACCOUNT,recover_password
BL,I want help listing your accepted payment methods,PAYMENT,check_payment_methods
BLQ,i want assistance to inform of a problem with registrations,ACCOUNT,registration_problems
BLMQ,i need help to purchase several of ur product,ORDER,place_order
BELW,I do not know what I have to do to remove a damn {{Account Type}} account,ACCOUNT,delete_account
BK,switch to freemium account,ACCOUNT,switch_account
BLNQ,i cant afford order {{Order Number}},ORDER,cancel_order
BILQ,uhave a way to send an opinion about a product,FEEDBACK,review
BILM,is it possible to see what delivery options I have?,DELIVERY,delivery_options
BKLM,edit details on premium account,ACCOUNT,edit_account
BL,help lodging a complaint against your organization,FEEDBACK,complaint
BLQ,i have to check in which cases can i ask to be refunded,REFUND,check_refund_policy
BILP,could you help me talking with somebody?,CONTACT,contact_human_agent
BQZ,i want assistrance to use the {{Account Type}} account,ACCOUNT,switch_account
BILM,where can I acquire some products?,ORDER,place_order
BL,I try to see the ETA of purchase {{Order Number}},ORDER,track_order
BILPQ,how could i change to the {{Account Type}} account,ACCOUNT,switch_account
BLMQ,I'm trying to obtain compensations,REFUND,get_refund
BIS,is it possible to order from {{Delivery Country}}?,DELIVERY,delivery_options
BLZ,I need help resetting the keyof my user profile,ACCOUNT,recover_password
BKL,update {{Account Type}} account,ACCOUNT,edit_account
BIL,how to cancel purchase {{Order Number}}?,ORDER,cancel_order
BKL,show me estimated time of arrival of order {{Order Number}},ORDER,track_order
BLQZ,i have a issue entering my secondary delivery address,SHIPPING,set_up_shipping_address
BLQ,i try to see the early exit penalty,CANCEL,check_cancellation_fee
BL,I want help seeing in which cases can I ask to be refunded,REFUND,check_refund_policy
BL,I need support with my sign-up,ACCOUNT,registration_problems
BLZ,I expect an reimbursement of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BKLZ,openng {{Account Category}} account,ACCOUNT,create_account
BL,help me check the status of my reimbursement,REFUND,track_refund
BQ,i expect a refund of {{Refund Amount}} dollars,REFUND,track_refund
BCELN,"I cannot sign up, I need to notify of a registration problem",ACCOUNT,registration_problems
BQ,need assistance filing a complaint against ur business,FEEDBACK,complaint
BIL,where can I know if there is anything new on the refund?,REFUND,track_refund
BCEL,"you are not helpful at all, help me contacting somebody",CONTACT,contact_human_agent
BILZ,what do I ned to do to talk to someone?,CONTACT,contact_human_agent
BLQ,"i have to locate the invoice #00108",INVOICE,check_invoice
BCIL,"I have got to see the methods for shipment, how do I do it?",DELIVERY,delivery_options
BLZ,open a platinum acount for my dad,ACCOUNT,create_account
BLQ,want help to set up a shipping address,SHIPPING,set_up_shipping_address
BCLQ,wanna cancel the subscription to the newsletter help me,SUBSCRIPTION,newsletter_subscription
BELQZ,i do not nkow how to delete the premium account,ACCOUNT,delete_account
BLQ,want help talking to someone,CONTACT,contact_human_agent
BIL,how do I use the {{Account Type}} profile?,ACCOUNT,switch_account
BCLZ,"I have to unsuscribe to your company newsletter, I need help",SUBSCRIPTION,newsletter_subscription
BLMQ,i want help checking if there are any news on my restitution,REFUND,track_refund
BLM,find my bills from {{Person Name}},INVOICE,check_invoice
BL,I am trying to inform of a trouble with online payment,PAYMENT,payment_issue
BLMZ,help me noitfy of an error with online payments,PAYMENT,payment_issue
BELQ,"i do not know how i can check my bill #37777",INVOICE,check_invoice
BMQZ,i dont know what i have to doto get refunds of my money,REFUND,get_refund
BIL,how to see how long it takes for my delivery to arrive?,DELIVERY,delivery_period
BIL,can you help me retrieving my user profile password?,ACCOUNT,recover_password
BLQZ,i need assistance talking with a perrson,CONTACT,contact_human_agent
BCL,"my experience with you has been bad, make a customer claim",FEEDBACK,complaint
BKL,edit platinum account,ACCOUNT,edit_account
BL,I don't know what to do to delete my {{Account Type}} account,ACCOUNT,delete_account
BLMZ,I have to  inform of sign-up problems,ACCOUNT,registration_problems
BL,I need help with canceling purchase {{Order Number}},ORDER,cancel_order
BL,I don't know what to do to change to the premium account,ACCOUNT,switch_account
BEQ,"i do not know what i have to do to get invoice #37777",INVOICE,get_invoice
BL,I don't know what I need to do to file a consumer complaint,FEEDBACK,complaint
BLQ,want assistance cancelling my pro account,ACCOUNT,delete_account
BL,help contacting an operator,CONTACT,contact_human_agent
BIL,how can I talk to customer assistance?,CONTACT,contact_customer_service
BCLQ,i have got to change to the {{Account Type}} account i need help,ACCOUNT,switch_account
BLM,I want help to swap several products of purchase {{Order Number}},ORDER,change_order
BL,I need assistance using the {{Account Category}} profile,ACCOUNT,switch_account
BIL,how do I use the gold profile?,ACCOUNT,switch_account
BL,I expect a restitution of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BKLZ,updating {{Account Category}} accojnt,ACCOUNT,edit_account
BLQ,i need help to swap something of purchase {{Order Number}},ORDER,change_order
BL,help me seeing what hours customer support available is,CONTACT,contact_customer_service
BLMQ,i have troubles setting up a secondary shipping address,SHIPPING,set_up_shipping_address
BL,I try to file a complaint against your organization,FEEDBACK,complaint
BIL,how to see purchase {{Order Number}} current status?,ORDER,track_order
BCIL,"I need to see your money back guarantee, how do I do it?",REFUND,check_refund_policy
BL,modify order {{Order Number}},ORDER,change_order
BILP,will you show me the accepted payment options?,PAYMENT,check_payment_methods
BLZ,question about cancellung purchase {{Order Number}},ORDER,cancel_order
BL,check under which circumstances can I ask to be refunded,REFUND,check_refund_policy
BELM,I do not know what I have to do to shop some articles,ORDER,place_order
BL,I need to speak to someone,CONTACT,contact_human_agent
BKL,send me bill from {{Person Name}},INVOICE,get_invoice
BLQZ,i need help to chat withh somebody,CONTACT,contact_human_agent
BCLP,"I would like to make a complaint, I need assistance",FEEDBACK,complaint
BCEL,"I do not need the platinum account, I have got to cancel it",ACCOUNT,delete_account
BLM,I don't know what to do to notify of payment errors,PAYMENT,payment_issue
BELP,I do not know how I could get in touch with customer support,CONTACT,contact_customer_service
BILQ,can uhelp me retrieving my user password,ACCOUNT,recover_password
BLM,show me what options for delivery are there,DELIVERY,delivery_options
BIQ,can uhelp me set up another shipping address,SHIPPING,set_up_shipping_address
BCIL,"I need to speak to customer assistance, how can I do it?",CONTACT,contact_customer_service
BL,I need assistance cancelling my standard account,ACCOUNT,delete_account
BL,help me open a {{Account Category}} account for my dad,ACCOUNT,create_account
BL,I need assistance to recover the PIN code of my account,ACCOUNT,recover_password
B,help me creating a freemium account,ACCOUNT,create_account
BILM,can you help me see what methods for delivery I have?,DELIVERY,delivery_options
BL,help me to file a consumer claim,FEEDBACK,complaint
BILM,where to inform of issues with a signup?,ACCOUNT,registration_problems
BCL,"I lost my PIN code, I want assistance retrieving it",ACCOUNT,recover_password
BEQ,"i do not know what i need to do to find the invoice #37777",INVOICE,check_invoice
BLM,I need assistance earning several articles,ORDER,place_order
BLQ,need help filing a reclamation,FEEDBACK,complaint
BLQ,i want help resetting my user pass,ACCOUNT,recover_password
BLQZ,i try tosee under what circumstances can i ask for refunds,REFUND,check_refund_policy
BL,I want assistance to speak to somebody,CONTACT,contact_human_agent
BCEIL,"I cannot make a transfer, how to notify of a payment issue?",PAYMENT,payment_issue
BI,can I set up a new shipping address?,SHIPPING,set_up_shipping_address
BEL,I cannot set a shipping address up,SHIPPING,set_up_shipping_address
BL,I want help using the pro profile,ACCOUNT,switch_account
BCILMQ,i paid {{Refund Amount}} dollars for an article how can i obtain a rebate,REFUND,get_refund
BIM,can you help me to check what delivery options I have?,DELIVERY,delivery_options
BILZ,can I talk with slmebody?,CONTACT,contact_human_agent
B,I want assistance to check how long refunds usually take,REFUND,check_refund_policy
BILP,could I talk to customer support?,CONTACT,contact_customer_service
BZ,help  with cancelling order {{Order Number}},ORDER,cancel_order
BLQZ,"want assistace seeing my bill #12588",INVOICE,check_invoice
BCEL,"I am not happy with your work, help to file a reclamation",FEEDBACK,complaint
BL,find information about the termination of a freemium account,ACCOUNT,delete_account
BLQ,I'm trying to request my money back,REFUND,get_refund
BL,I don't know how I can obtain a refund,REFUND,get_refund
BKLM,send me bills from {{Person Name}},INVOICE,get_invoice
BL,I don't know what to do to contact an assistant,CONTACT,contact_human_agent
BLP,I would like to see in which cases can I request refunds,REFUND,check_refund_policy
BILM,where do I see what methods for delivery are there?,DELIVERY,delivery_options
BIL,can you help me make a customer claim against your company?,FEEDBACK,complaint
BCIPW,"I need to edit my bloody user, will you help me?",ACCOUNT,edit_account
BL,help to see at what time I can contact customer service,CONTACT,contact_customer_service
BEL,I do not know how to subscribe to the newsletter,SUBSCRIPTION,newsletter_subscription
BLQ,i have to demand a rebate,REFUND,get_refund
BILQ,can uhelp me to swap something of order {{Order Number}},ORDER,change_order
BKLZ,create pro accountfor wife,ACCOUNT,create_account
BL,problem setting a new delivery address up,SHIPPING,set_up_shipping_address
B,"I want assistance getting invoice #85632",INVOICE,get_invoice
BILMQ,where can i shop a few of ur article,ORDER,place_order
BILQ,what do i need to do to change to the gold account,ACCOUNT,switch_account
BILMQ,where do i receive reimbursements of my money,REFUND,get_refund
BLZ,I need assistance enteirng another delivery address,SHIPPING,set_up_shipping_address
BLZ,asistance to open a pro account,ACCOUNT,create_account
BILW,is it possible to check my damn rebate current status?,REFUND,track_refund
BL,set up my shipping address,SHIPPING,set_up_shipping_address
BILQ,can uhelp me check my refund current status,REFUND,track_refund
BLQ,help to see ur payment options,PAYMENT,check_payment_methods
BIL,can you help me retrieve my user access key?,ACCOUNT,recover_password
BLQ,i want help to see ur available payment methods,PAYMENT,check_payment_methods
BLZ,I awnt assistance to locate order {{Order Number}},ORDER,track_order
BCELMV,"I have paid {{Currency Symbol}}{{Refund Amount}} for a product, I have to get a rebate",REFUND,get_refund
BIL,how can I report a sign-up error?,ACCOUNT,registration_problems
BLM,I want information about opening platinum accounts,ACCOUNT,create_account
BLN,I can't swap an item of purchase {{Order Number}},ORDER,change_order
BCELMV,"I have paid {{Currency Symbol}}{{Refund Amount}} for a purchase, I want to get a refund",REFUND,get_refund
BCL,"I have to see how long reimbursements take, I need help",REFUND,check_refund_policy
BLQ,i expect a restitution of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund
BILQ,when am i getting a reimbursement,REFUND,get_refund
BCL,"I have to see in which cases can I ask for refunds, help me",REFUND,check_refund_policy
BKL,new premium account for wife,ACCOUNT,create_account
BL,I need to see the current status of the compensation,REFUND,track_refund
BLW,I can't set my damn secondary shipping address up,SHIPPING,set_up_shipping_address
BL,help removing the pro account,ACCOUNT,delete_account
BIL,where can I cancel purchase {{Order Number}}?,ORDER,cancel_order
BLZ,I have a problem wth the removal of my {{Account Type}} account,ACCOUNT,delete_account
BL,help to see order {{Order Number}} status,ORDER,track_order
BLM,assistance adding some items to purchase {{Order Number}},ORDER,change_order
BKL,new {{Account Category}} account for wife,ACCOUNT,create_account
BILQ,what do i have to do to close my standard account,ACCOUNT,delete_account
BCL,"I have got to see when will my package arrive, I need help",DELIVERY,delivery_period
BILP,could you help me talking to an assistant?,CONTACT,contact_human_agent
BLM,I have problems with deleting an item from order {{Order Number}},ORDER,change_order
BLW,I try to talk to damn customer support,CONTACT,contact_customer_service
BK,set up new shipping address,SHIPPING,set_up_shipping_address
BL,I need help to see your reimbursement policy,REFUND,check_refund_policy
BL,I don't know how I can reset my user PIN code,ACCOUNT,recover_password
BILQ,how to use the standard profile,ACCOUNT,switch_account
